,quality,Type,quality_label
0,5,red,low
1,5,red,low
2,5,red,low
3,6,red,medium
4,5,red,low
5,5,red,low
6,5,red,low
7,7,red,medium
8,7,red,medium
9,5,red,low
10,5,red,low
11,5,red,low
12,5,red,low
13,5,red,low
14,5,red,low
15,5,red,low
16,7,red,medium
17,5,red,low
18,4,red,low
19,6,red,medium
20,6,red,medium
21,5,red,low
22,5,red,low
23,5,red,low
24,6,red,medium
25,5,red,low
26,5,red,low
27,5,red,low
28,5,red,low
29,6,red,medium
30,5,red,low
31,6,red,medium
32,5,red,low
33,6,red,medium
34,5,red,low
35,6,red,medium
36,6,red,medium
37,7,red,medium
38,4,red,low
39,5,red,low
40,5,red,low
41,4,red,low
42,6,red,medium
43,5,red,low
44,5,red,low
45,4,red,low
46,5,red,low
47,5,red,low
48,5,red,low
49,5,red,low
50,5,red,low
51,6,red,medium
52,6,red,medium
53,5,red,low
54,6,red,medium
55,5,red,low
56,5,red,low
57,5,red,low
58,5,red,low
59,6,red,medium
60,5,red,low
61,5,red,low
62,7,red,medium
63,5,red,low
64,5,red,low
65,5,red,low
66,5,red,low
67,5,red,low
68,5,red,low
69,6,red,medium
70,6,red,medium
71,5,red,low
72,5,red,low
73,4,red,low
74,5,red,low
75,5,red,low
76,5,red,low
77,6,red,medium
78,5,red,low
79,4,red,low
80,5,red,low
81,5,red,low
82,5,red,low
83,5,red,low
84,6,red,medium
85,5,red,low
86,6,red,medium
87,5,red,low
88,5,red,low
89,5,red,low
90,5,red,low
91,6,red,medium
92,5,red,low
93,5,red,low
94,4,red,low
95,6,red,medium
96,5,red,low
97,5,red,low
98,5,red,low
99,6,red,medium
100,6,red,medium
101,6,red,medium
102,6,red,medium
103,5,red,low
104,5,red,low
105,5,red,low
106,5,red,low
107,5,red,low
108,6,red,medium
109,5,red,low
110,5,red,low
111,5,red,low
112,5,red,low
113,6,red,medium
114,5,red,low
115,6,red,medium
116,6,red,medium
117,6,red,medium
118,6,red,medium
119,6,red,medium
120,5,red,low
121,6,red,medium
122,5,red,low
123,5,red,low
124,5,red,low
125,5,red,low
126,5,red,low
127,5,red,low
128,7,red,medium
129,5,red,low
130,5,red,low
131,5,red,low
132,5,red,low
133,6,red,medium
134,6,red,medium
135,5,red,low
136,5,red,low
137,5,red,low
138,5,red,low
139,5,red,low
140,5,red,low
141,5,red,low
142,6,red,medium
143,5,red,low
144,6,red,medium
145,5,red,low
146,5,red,low
147,5,red,low
148,6,red,medium
149,6,red,medium
150,6,red,medium
151,4,red,low
152,5,red,low
153,5,red,low
154,5,red,low
155,5,red,low
156,5,red,low
157,5,red,low
158,5,red,low
159,6,red,medium
160,5,red,low
161,4,red,low
162,6,red,medium
163,5,red,low
164,5,red,low
165,5,red,low
166,5,red,low
167,4,red,low
168,6,red,medium
169,5,red,low
170,4,red,low
171,6,red,medium
172,6,red,medium
173,6,red,medium
174,5,red,low
175,5,red,low
176,5,red,low
177,6,red,medium
178,5,red,low
179,5,red,low
180,5,red,low
181,5,red,low
182,5,red,low
183,5,red,low
184,6,red,medium
185,5,red,low
186,5,red,low
187,5,red,low
188,5,red,low
189,5,red,low
190,5,red,low
191,6,red,medium
192,5,red,low
193,5,red,low
194,5,red,low
195,5,red,low
196,5,red,low
197,6,red,medium
198,7,red,medium
199,4,red,low
200,7,red,medium
201,5,red,low
202,5,red,low
203,5,red,low
204,6,red,medium
205,7,red,medium
206,7,red,medium
207,5,red,low
208,5,red,low
209,7,red,medium
210,6,red,medium
211,6,red,medium
212,6,red,medium
213,5,red,low
214,6,red,medium
215,5,red,low
216,5,red,low
217,5,red,low
218,5,red,low
219,5,red,low
220,6,red,medium
221,5,red,low
222,5,red,low
223,6,red,medium
224,4,red,low
225,6,red,medium
226,6,red,medium
227,5,red,low
228,6,red,medium
229,5,red,low
230,7,red,medium
231,6,red,medium
232,6,red,medium
233,5,red,low
234,6,red,medium
235,6,red,medium
236,6,red,medium
237,6,red,medium
238,6,red,medium
239,6,red,medium
240,5,red,low
241,6,red,medium
242,6,red,medium
243,7,red,medium
244,7,red,medium
245,6,red,medium
246,5,red,low
247,5,red,low
248,6,red,medium
249,6,red,medium
250,6,red,medium
251,6,red,medium
252,5,red,low
253,5,red,low
254,6,red,medium
255,5,red,low
256,5,red,low
257,5,red,low
258,5,red,low
259,7,red,medium
260,5,red,low
261,4,red,low
262,5,red,low
